"kusaal","english","tier","kus_article","en_article","alignment_origin"
"Vɔt kan la ni ka Nana Akufo-Addo onɛ da an Minister for Foreign Affairs Zugraan president John Kufuor gɔmina ni ka an Wabʋg Paati la nid la da di gɔmina zugraan ka lieb Ghana President.","Former foreign minister Nana Akufo-Addo of the opposition New Patriotic Party was elected President on his third attempt, defeating incumbent President John Mahama of the National Democratic Congress.","gold","2016 Ghanaian general election","2016 Ghanaian general election","anchor-confident"
"Nana Konadu Agyeman Rawlings, onɛ da an National Democratic Party mɛ da paas banɛ ka ba da pʋ tisi ba suor la.","The disqualified candidates included former first lady Nana Konadu Agyeman Rawlings, the president of the National Democratic Party.","gold","2016 Ghanaian general election","2016 Ghanaian general election","anchor-confident"
"Amaa Progressive People's Party (PPP) na'anya'ad onɛ an Paa Kwesi Nduom la da zaŋ EC la dʋ kooto bam pʋ tis o suor la zug.","However, the presidential candidate of the Progressive People's Party (PPP) Paa Kwesi Nduom took the EC to court over his disqualification.","gold","2016 Ghanaian general election","2016 Ghanaian general election","anchor-confident"
"Gɔmma zugdaan John Mahama da mɔr suor ka zi'enɛ paasi o nɔɔra ayi' bɔzugɔ o di'el na'am la ka li kpɛm nwadis ayuobʋ ma'aa nɛ ban na vɔt yi o zuraag John Atta Mills ni.","Incumbent John Mahama was eligible for a second full term since he had ascended to the presidency with only six months remaining in the term of his predecessor and running mate, John Atta Mills.","gold","2016 Ghanaian general election","2016 Ghanaian general election","anchor-confident"
"NDC nɛ NPP wʋsa mɔr 275 na'anya'adib, ka CPP (222 na'anya'dib) nɛ PPP (163) ka paati nam ayi daa an paati banɛ ma'aa paam na'am la pʋʋsʋg -pʋʋsʋg .Ka PNC mɔr 64 na'anya'adib, ka NDP mɔr 33 na'anya'adib, ka APC mɔr 20 na'anya'adib, ka GCPP mɔr 10 na'anya'adib, ka UFP mɔr six na'anya'adib , ka DPP nɛ UPP wʋsa mɔr na'anya'ad yinne- yinne ma'aa.","The PNC nominated 64 candidates, the NDP 33, the APC 20, the GCPP 10, the UFP six and the DPP and UPP both had only one candidate.","gold","2016 Ghanaian general election","2016 Ghanaian general election","anchor-confident"
"O da nya'a na'am lanɛ nɔɔra atan' yʋ'ʋn di ka bas gɔmina zugdaan John Mahama onɛ an Ma'asim Tiig Paati (National Democratic Party) la nid.","Former foreign minister Nana Akufo-Addo of the opposition New Patriotic Party was elected President on his third attempt, defeating incumbent President John Mahama of the National Democratic Congress.","silver","2016 Ghanaian general election","2016 Ghanaian general election","anchor-unsure"
"Lin da yi miti pisnu nɛ yinne gaad kɛrifa ayɔpɔi zaamnɔɔr la, ka Mahama da buol Akufo-Addo pʋ'ʋs o nɛ o zusʋŋ.","At 20:45, the Electoral Commission declared that Akufo-Addo had defeated Mahama in a single round.","silver","2016 Ghanaian general election","2016 Ghanaian general election","anchor-unsure"
"Suokanɛ ka ba dɔlisidi vɔɔtid Gɔmma Zugraan Ghana nwa anɛ linɛ ka ba buon ye two-round system, ka din pa'al ye asɛɛ ka onɛ di la paam banɛ vɔɔt la kal pʋsʋg nɛ bi'ela bɛɛ 50% amaa wadmaanib banɛ an 275 ka zi'e tis constituency yinne-yinne la, ba yinne vɔt kal ya'a gaad bama la bi'ela, on sɔbi di kuk la.","The president is elected using the two-round system, whilst the 275 members of Parliament are elected in single-member constituencies using first-past-the-post voting.","silver","2016 Ghanaian general election","2016 Ghanaian general election","anchor-unsure"
"Amaa Vɔɔtʋg ofis dim bɛɛ Electoral Commission (EC) da ki'is ya ye ban yɛt si'em la ka' sida.","The Electoral Commission denied all accusations.","silver","2016 Ghanaian general election","2016 Ghanaian general election","anchor-unsure"
"Ivor Greenstreet onɛ da an Convention People's Party na'anya'ad la da an yiiga sɔbi nya'a teŋgbauŋ Zugraan ka an pɔn'ɔr.","Ivor Greenstreet from the Convention People's Party was the first physically challenged candidate to contest a presidential election.","silver","2016 Ghanaian general election","2016 Ghanaian general election","anchor-confident"
